,quarter_id,lat,lon,coordinates,area,population,great_parks_count,great_parks_area,great_parks_ndvi,good_parks_count,good_parks_area,good_parks_ndvi,ok_parks_count,ok_parks_area,ok_parks_ndvi,general_ndvi,general_area
0,relation/1566444,56.90938203,60.60178607,"[(56.9095127, 60.6013431), (56.9094715, 60.6012413), (56.9090569, 60.601831), (56.9090906, 60.601925), (56.9091544, 60.6019039), (56.9092808, 60.6022269), (56.9093556, 60.602403), (56.9097572, 60.6019753), (56.9096279, 60.6016681), (56.9095127, 60.6013431)]",2711.53,100,0,0.0,0.0,9,20510.88,0.651,55,69625.1,0.6328,0.6369,90135.98
1,relation/1570793,56.91213246315789,60.593418878947375,"[(56.9119194, 60.5919833), (56.9120294, 60.5921363), (56.9120587, 60.592177), (56.9120033, 60.5923192), (56.9118745, 60.59265), (56.9114984, 60.5936156), (56.9114186, 60.5938206), (56.9113755, 60.5939393), (56.9112359, 60.5943236), (56.9115302, 60.5947445), (56.9121826, 60.5956778), (56.9128553, 60.5964111), (56.9128719, 60.5963616), (56.9136967, 60.5940042), (56.91345, 60.593545), (56.9127814, 60.5922576), (56.9120234, 60.5912024), (56.9117922, 60.5918063), (56.9119194, 60.5919833)]",44215.77,3525,0,0.0,0.0,9,7574.55,0.6078,20,21452.04,0.6471,0.6369,29026.6
2,relation/1842698,56.745496640909096,60.70988577727273,"[(56.7456203, 60.7092277), (56.7453474, 60.7095427), (56.7452311, 60.7096562), (56.7450477, 60.709836), (56.7450162, 60.7098669), (56.7449994, 60.7101462), (56.744984, 60.7104491), (56.744986, 60.7105224), (56.7450085, 60.7105733), (56.7450473, 60.7105895), (56.7452824, 60.7105423), (56.7456051, 60.7105037), (56.7456494, 60.710444), (56.7459481, 60.7103749), (56.7459416, 60.7103148), (56.7459156, 60.7099511), (56.7459544, 60.7094166), (56.7459542, 60.7092277), (56.7459344, 60.7091715), (56.7459378, 60.7090019), (56.7458949, 60.7089009), (56.7456203, 60.7092277)]",7077.25,550,1,925.66,0.6361,6,9751.83,0.6602,6,49150.19,0.6686,0.6667,59827.68
3,relation/2019135,56.88378993913044,60.55875065217391,"[(56.8803891, 60.5576003), (56.8830425, 60.5602785), (56.8831314, 60.5603661), (56.8837681, 60.5609937), (56.8837888, 60.5609363), (56.8840119, 60.5602256), (56.8841862, 60.5604088), (56.8843706, 60.5606027), (56.8845797, 60.5608003), (56.8844658, 60.5611674), (56.8842629, 60.5609531), (56.8841238, 60.5613998), (56.885575, 60.5628371), (56.8874501, 60.5567064), (56.8850184, 60.5542362), (56.8848092, 60.55404), (56.8822607, 60.551471), (56.8803891, 60.5576003), (56.8832079, 60.5581415), (56.8836301, 60.5567679), (56.8839608, 60.5571084), (56.8835386, 60.5584821), (56.8832079, 60.5581415)]",275464.78,0,0,0.0,0.0,0,0.0,0.0,2,1210.69,0.6332,0.6332,1210.69
4,relation/2211568,56.723925910000006,60.64412651,"[(56.7227991, 60.6419761), (56.722637, 60.6425381), (56.7225748, 60.6462691), (56.7259369, 60.6482038), (56.7263441, 60.6459945), (56.7256623, 60.6455371), (56.724453, 60.6447399), (56.7231383, 60.641842), (56.7229145, 60.6421884), (56.7227991, 60.6419761)]",77836.65,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
5,relation/2211569,56.72504994545454,60.641746963636365,"[(56.7254935, 60.6394542), (56.7253931, 60.6397022), (56.7247274, 60.6408228), (56.7238123, 60.6408783), (56.7234683, 60.641393), (56.7245576, 60.6439631), (56.7248597, 60.6443579), (56.7258309, 60.6449541), (56.7260032, 60.6443549), (56.7259099, 60.6398819), (56.7254935, 60.6394542)]",55472.0,100,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,relation/3157962,56.78236449,60.877664305,"[(56.7826123, 60.8817983), (56.7830158, 60.881312), (56.7833715, 60.8809845), (56.7837271, 60.880657), (56.7844237, 60.8814026), (56.7849535, 60.8815826), (56.7854435, 60.8816537), (56.7855208, 60.8814637), (56.7853721, 60.8811895), (56.7853246, 60.8810891), (56.7855714, 60.880671), (56.785503, 60.880443), (56.7853751, 60.8803615), (56.7852056, 60.8803398), (56.785045, 60.8803724), (56.7848903, 60.8804158), (56.7848339, 60.8799499), (56.7850301, 60.8796557), (56.785155, 60.8794819), (56.7852591, 60.8794656), (56.7854197, 60.8796068), (56.785503, 60.8793625), (56.7859193, 60.8797332), (56.7859841, 60.8795448), (56.7866345, 60.8801644), (56.7868887, 60.8789694), (56.7882723, 60.879978), (56.7882915, 60.8798087), (56.7885831, 60.8798483), (56.7887392, 60.8796384), (56.7890869, 60.8790086), (56.7892293, 60.8781188), (56.7889445, 60.8778689), (56.7889171, 60.8776289), (56.7890034, 60.8771402), (56.7892533, 60.8772204), (56.7893206, 60.8771496), (56.7893287, 60.8767745), (56.7891564, 60.8765709), (56.7892221, 60.876231), (56.7895945, 60.8755312), (56.789704, 60.8752013), (56.7895616, 60.8747514), (56.7900161, 60.8727619), (56.7897666, 60.8724994), (56.7906269, 60.8662525), (56.789836, 60.8658813), (56.7898484, 60.8654114), (56.7892252, 60.8652359), (56.7889312, 60.8658126), (56.7879296, 60.8683038), (56.7876517, 60.8688998), (56.7875265, 60.8697903), (56.7872093, 60.8696), (56.7865525, 60.8709598), (56.7866303, 60.8712882), (56.7865339, 60.8719481), (56.7869944, 60.8723565), (56.7868859, 60.8726519), (56.7871267, 60.8728197), (56.7871243, 60.8731002), (56.7871511, 60.8733484), (56.7872193, 60.8738052), (56.7870601, 60.874096), (56.7868508, 60.8741458), (56.7868735, 60.8745279), (56.7866688, 60.8748356), (56.7863525, 60.8751862), (56.7858662, 60.87547), (56.7857858, 60.8759148), (56.7849948, 60.8753879), (56.7848786, 60.8753384), (56.7851109, 60.8745936), (56.7852697, 60.8741316), (56.7853156, 60.8736195), (56.7854883, 60.8727606), (56.7851627, 60.8726506), (56.7849161, 60.8723511), (56.78502, 60.8721222), (56.7852204, 60.8719285), (56.7852119, 60.8713905), (56.7845322, 60.8708883), (56.7845113, 60.8699909), (56.7849488, 60.8696988), (56.784975, 60.8679047), (56.7845732, 60.8677754), (56.7845379, 60.8676665), (56.7845948, 60.8675749), (56.78482, 60.8668026), (56.7850311, 60.8656356), (56.7843724, 60.8652377), (56.7841421, 60.863651), (56.7837143, 60.8635513), (56.7836009, 60.8634631), (56.7834917, 60.8629772), (56.7827869, 60.8634071), (56.7830131, 60.8655627), (56.783243, 60.8657391), (56.7827638, 60.8659548), (56.7827187, 60.8657433), (56.7823615, 60.8660781), (56.7821234, 60.8661897), (56.7820011, 60.8660664), (56.7818531, 60.8670708), (56.7817114, 60.8671546), (56.7815343, 60.8670458), (56.7814019, 60.8679168), (56.7813279, 60.8679365), (56.7812472, 60.8684214), (56.7811021, 60.8688948), (56.7810717, 60.869097), (56.7812482, 60.8692676), (56.7814203, 60.8692977), (56.7817327, 60.8694618), (56.7820335, 60.8696197), (56.7821134, 60.8698063), (56.7820308, 60.8704086), (56.7823603, 60.8705661), (56.7827312, 60.8707434), (56.7833645, 60.8710461), (56.7836457, 60.8712232), (56.7831392, 60.8733803), (56.7825179, 60.8756396), (56.7826501, 60.8759875), (56.7826006, 60.8760935), (56.7826059, 60.8765119), (56.7819526, 60.8786326), (56.7816516, 60.8796447), (56.7815049, 60.879814), (56.7812792, 60.8786826), (56.7815792, 60.8778226), (56.7817471, 60.8775602), (56.7819183, 60.8773582), (56.7810463, 60.876519), (56.7805725, 60.8754296), (56.7805257, 60.8754843), (56.7799926, 60.8761505), (56.7798168, 60.8765476), (56.7797356, 60.876528), (56.7796429, 60.8765087), (56.7792914, 60.8776655), (56.7789432, 60.8773712), (56.7786349, 60.8783564), (56.780002, 60.8797675), (56.7795583, 60.880925), (56.7792969, 60.8812047), (56.7791124, 60.881004), (56.7789682, 60.8815468), (56.7788307, 60.8818762), (56.7786456, 60.8821163), (56.7785149, 60.8825453), (56.7787549, 60.8827222), (56.7789294, 60.883137), (56.7788393, 60.8834169), (56.7787228, 60.8837045), (56.7785213, 60.8843524), (56.7783607, 60.884345), (56.7783096, 60.8842088), (56.77521, 60.8830313), (56.77526, 60.8826237), (56.7750319, 60.8824643), (56.7747699, 60.8826288), (56.7742065, 60.8825877), (56.7725414, 60.8819425), (56.7725323, 60.882527), (56.7724807, 60.8828472), (56.7720961, 60.882985), (56.7718435, 60.8835612), (56.7714699, 60.88528), (56.7713437, 60.8864515), (56.7713489, 60.8878535), (56.7712753, 60.8884969), (56.7709214, 60.8898386), (56.7706475, 60.8905784), (56.7724553, 60.892178), (56.7729048, 60.8905205), (56.7717254, 60.8886988), (56.7720436, 60.8875725), (56.7726578, 60.8881398), (56.7730649, 60.8873294), (56.7766896, 60.8886501), (56.7768794, 60.8882378), (56.7771239, 60.8875109), (56.7772312, 60.8876712), (56.7773491, 60.8879515), (56.7774207, 60.8878416), (56.7776045, 60.8868242), (56.7778213, 60.8873734), (56.7781141, 60.8875014), (56.778483, 60.8874757), (56.7790492, 60.8875009), (56.7793149, 60.887334), (56.7794385, 60.8871285), (56.7796646, 60.887216), (56.7797497, 60.8867192), (56.7792513, 60.8864333), (56.779272, 60.8854276), (56.7790338, 60.8853157), (56.7792443, 60.8839755), (56.7794607, 60.8837455), (56.7798523, 60.8831257), (56.7803745, 60.8836699), (56.7801711, 60.8844574), (56.7799629, 60.8853438), (56.7805139, 60.8855463), (56.7808179, 60.8845416), (56.780533, 60.8842566), (56.78067, 60.8839317), (56.7806876, 60.8838753), (56.781228, 60.8821444), (56.7814164, 60.8827212), (56.7814043, 60.8831618), (56.7815926, 60.8837555), (56.7817402, 60.8840464), (56.7818764, 60.8839677), (56.7821132, 60.883247), (56.7826123, 60.8817983), (56.784203, 60.8772245), (56.7842855, 60.8775361), (56.7840756, 60.8788016), (56.7839059, 60.8796961), (56.7837816, 60.879294), (56.7833214, 60.8793205), (56.7830742, 60.8799323), (56.7829294, 60.8807476), (56.7821725, 60.8799364), (56.782103, 60.8796756), (56.7821442, 60.8793894), (56.7824011, 60.8794784), (56.7825762, 60.8796484), (56.7827364, 60.8796552), (56.7827774, 60.8791588), (56.7828072, 60.8785943), (56.782714, 60.8783223), (56.7826321, 60.8781591), (56.7827362, 60.8777271), (56.7828726, 60.8772891), (56.7833274, 60.8778902), (56.7835778, 60.8767545), (56.784203, 60.8772245)]",994359.65,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
7,relation/3434352,56.90018455714285,60.575045714285714,"[(56.8995913, 60.574962), (56.9012676, 60.5771149), (56.9016839, 60.5760548), (56.8999968, 60.5739053), (56.8997817, 60.5736313), (56.8993793, 60.5746897), (56.8995913, 60.574962)]",20356.68,0,2,5603.45,0.5869,26,15288.46,0.5235,39,45075.0,0.5858,0.5715,65966.91
8,relation/3434353,56.90012147777778,60.57702336666667,"[(56.9010389, 60.5777216), (56.9011745, 60.5773692), (56.899459, 60.5751873), (56.899282, 60.5749623), (56.8987189, 60.5764571), (56.8989293, 60.5767252), (56.900601, 60.5788554), (56.9008508, 60.5782106), (56.9010389, 60.5777216)]",28358.72,175,2,5603.45,0.5869,25,15055.34,0.5227,39,43913.01,0.5944,0.577,64571.79
9,relation/3434354,56.90037171428571,60.57341485714286,"[(56.9000662, 60.5737327), (56.9007254, 60.5745695), (56.9011332, 60.5734612), (56.9004888, 60.5726149), (56.9002743, 60.5723358), (56.8998479, 60.5734572), (56.9000662, 60.5737327)]",9736.5,0,2,5603.45,0.5869,20,13287.85,0.5105,34,38228.52,0.573,0.5599,57119.82
