id,название,широта_центра,долгота_центра,все_точки_границ,количество_точек,северная_граница,южная_граница,западная_граница,восточная_граница,сервер
31560359,Квартал,56.821465,60.553474,"60.553020,56.821353; 60.552413,56.822251; 60.552878,56.822179; 60.553012,56.822063; 60.553437,56.821694; 60.553376,56.821561; 60.553528,56.821390; 60.553823,56.821271; 60.553912,56.821327; 60.554986,56.820951; 60.554475,56.820548; 60.553274,56.821106; 60.553020,56.821353",13,56.822251,56.820548,60.552413,60.554986,https://overpass.kumi.systems/api/interpreter
35160534,"ЖК ""Форум Сити""",56.83041,60.588787,"60.587798,56.829743; 60.587342,56.831019; 60.589442,56.831205; 60.589472,56.831125; 60.589820,56.830088; 60.589838,56.829947; 60.587798,56.829743",7,56.831205,56.829743,60.587342,60.589838,https://overpass.kumi.systems/api/interpreter
35410624,Квартал,56.777165,60.592675,"60.594991,56.780341; 60.595147,56.780277; 60.596258,56.777278; 60.596077,56.777019; 60.593573,56.775709; 60.593455,56.775775; 60.593405,56.775749; 60.593043,56.775976; 60.592931,56.776038; 60.592825,56.776097; 60.592187,56.775867; 60.591748,56.775555; 60.591615,56.775469; 60.591515,56.775529; 60.591413,56.775565; 60.590430,56.775792; 60.590486,56.776162; 60.590764,56.776824; 60.590975,56.776929; 60.592076,56.777198; 60.591461,56.778659; 60.591312,56.779420; 60.591937,56.779534; 60.592267,56.780016; 60.594991,56.780341",25,56.780341,56.775469,60.59043,60.596258,https://overpass.kumi.systems/api/interpreter
35581260,Квартал,56.908436,60.606613,"60.606599,56.906288; 60.606190,56.906956; 60.606099,56.907103; 60.606042,56.907194; 60.605970,56.907330; 60.605866,56.907478; 60.605850,56.907504; 60.605538,56.908007; 60.605266,56.908445; 60.605050,56.908794; 60.605024,56.908835; 60.604987,56.908895; 60.604856,56.909103; 60.604756,56.909264; 60.604736,56.909298; 60.604717,56.909329; 60.604679,56.909390; 60.604518,56.909652; 60.604476,56.909721; 60.604335,56.909950; 60.604230,56.910120; 60.604709,56.910170; 60.605181,56.910220; 60.606101,56.910303; 60.606980,56.910384; 60.608673,56.910534; 60.608792,56.910197; 60.608991,56.909511; 60.609091,56.909182; 60.609253,56.908545; 60.609585,56.907240; 60.609682,56.906859; 60.609773,56.906580; 60.609710,56.906575; 60.609423,56.906553; 60.609468,56.906405; 60.609483,56.906354; 60.606599,56.906288",38,56.910534,56.906288,60.60423,60.609773,https://overpass.kumi.systems/api/interpreter
35581261,Квартал,56.912322,60.606073,"60.604094,56.910273; 60.603666,56.910951; 60.603503,56.911207; 60.603332,56.911474; 60.603316,56.911526; 60.603245,56.911763; 60.603192,56.911937; 60.602778,56.913299; 60.606138,56.913595; 60.607750,56.913737; 60.607874,56.913319; 60.607815,56.913314; 60.607436,56.913280; 60.607385,56.913450; 60.606997,56.913416; 60.606609,56.913381; 60.606658,56.913215; 60.606261,56.913180; 60.606333,56.912960; 60.606335,56.912951; 60.606738,56.912987; 60.607029,56.913013; 60.607206,56.913028; 60.607501,56.913053; 60.607760,56.913076; 60.607941,56.913092; 60.608408,56.911551; 60.608678,56.910663; 60.606943,56.910517; 60.606098,56.910444; 60.605221,56.910379; 60.604094,56.910273",32,56.913737,56.910273,60.602778,60.608678,https://overpass.kumi.systems/api/interpreter
35868723,Квартал,56.803504,60.590493,"60.590273,56.801691; 60.590046,56.801713; 60.588006,56.802084; 60.587368,56.802293; 60.586819,56.802499; 60.587586,56.803118; 60.591747,56.806399; 60.591983,56.806333; 60.592242,56.806356; 60.593105,56.803826; 60.592767,56.803802; 60.592248,56.803760; 60.591688,56.803756; 60.591025,56.803803; 60.590713,56.802933; 60.590273,56.801691",16,56.806399,56.801691,60.586819,60.593105,https://overpass.kumi.systems/api/interpreter
35868725,Квартал,56.800826,60.604393,"60.605154,56.801898; 60.608620,56.802232; 60.609023,56.800896; 60.609088,56.800799; 60.609230,56.800359; 60.607222,56.800171; 60.606892,56.800251; 60.604290,56.800136; 60.598548,56.799506; 60.598452,56.799634; 60.598219,56.800337; 60.601063,56.800620; 60.600799,56.801467; 60.603642,56.801753; 60.603872,56.800956; 60.605422,56.801132; 60.605154,56.801898",17,56.802232,56.799506,60.598219,60.60923,https://overpass.kumi.systems/api/interpreter
35868944,Квартал,56.805439,60.586065,"60.580306,56.803913; 60.583497,56.806419; 60.585988,56.808469; 60.589708,56.807057; 60.588945,56.806384; 60.590521,56.805825; 60.589662,56.805100; 60.585651,56.801872; 60.580306,56.803913",9,56.808469,56.801872,60.580306,60.590521,https://overpass.kumi.systems/api/interpreter
35868946,Квартал,56.806951,60.578351,"60.580186,56.803959; 60.578544,56.804573; 60.578856,56.804817; 60.578920,56.804863; 60.578142,56.805145; 60.577804,56.804872; 60.573011,56.806650; 60.575870,56.808979; 60.577177,56.808495; 60.577410,56.808452; 60.578100,56.808523; 60.578370,56.808702; 60.576464,56.809477; 60.578671,56.811238; 60.585902,56.808516; 60.580186,56.803959",16,56.811238,56.803959,60.573011,60.585902,https://overpass.kumi.systems/api/interpreter
35869085,Квартал,56.806252,60.568061,"60.567838,56.808460; 60.572673,56.806640; 60.572310,56.806342; 60.569762,56.804274; 60.566713,56.805435; 60.565691,56.804593; 60.563880,56.805252; 60.565843,56.806807; 60.567838,56.808460",9,56.80846,56.804274,60.56388,60.572673,https://overpass.kumi.systems/api/interpreter
